# =============================================================================
# keywords.csv — eyesclinic.jp 用キーワードキュー（近視矯正クリニック送客アフィリ）
# -----------------------------------------------------------------------------
# ・1行に1キーワード / 空行と「#」行は無視
# ・上の行から処理（並び順＝公開の優先順位）
# ・Googleサジェストで実需を裏付け済み（2026-06-26）
# ・地域は「東京」で手応えを見て、効けば大阪/名古屋/福岡/横浜へ横展開
# =============================================================================

# --- Tier1 比較・検討（勝ちやすく送客直結） ---
レーシック icl 違い
レーシック icl どっちがいい
icl デメリット リスク
レーシック 後悔 割合
レーシック 費用 相場
icl 費用 相場
近視矯正手術 種類
オルソケラトロジー 大人 効果

# --- Tier2 送客の本丸（おすすめ・ランキング・地域） ---
近視クリニック おすすめ
icl 名医 ランキング
レーシック おすすめ 東京
icl おすすめ 東京
レーシック 安い おすすめ
icl 費用 医療費控除

# --- Tier3 不安解消・回遊（E-E-A-T） ---
レーシック 老眼になる
icl 適応検査 内容
レーシック 受けられない人
子供 近視抑制 目薬
視力回復 大人 方法
